q1,p1,q2,p2,q3,p3,q4,p4,q5,p5,qTotal,pTotal
0,0,140,39.411,135,38.187,140,41.486,130,38.185,548.958435059,157.269
0,0,140,39.426,135,38.202,140,41.502,130,38.202,545.389892578,157.332
0,0,140,39.42,135,38.196,140,41.495,130,38.195,546.872924805,157.306
0,0,140,39.42,135,38.196,140,41.495,130,38.195,546.872924805,157.306
0,0,140,39.436,135,38.211,140,41.512,130,38.212,546.190734863,157.371
0,0,140,39.419,135,38.195,145,42.87,130,38.194,550.084838867,158.678
0,0,140,39.409,135,38.185,140,41.483,130,38.182,549.554992676,157.259
0,0,135,38.069,135,38.232,140,41.535,130,38.235,541.214233398,156.071
0,0,140,39.431,135,38.207,140,41.507,130,38.207,547.211791992,157.352
0,0,140,39.423,135,38.199,140,41.499,130,38.198,549.072387695,157.319
0,0,140,39.42,135,38.196,140,41.495,130,38.194,549.910766602,157.305
0,0,140,39.428,135,38.204,140,41.504,130,38.204,547.921569824,157.34
0,0,140,39.437,135,38.212,140,41.513,130,38.213,545.982849121,157.375
0,0,135,38.054,135,38.217,140,41.518,130,38.218,544.950195312,156.007
0,0,135,38.06,135,38.223,140,41.525,130,38.225,543.387329102,156.033
0,0,135,38.066,135,38.229,140,41.531,130,38.232,544.986877441,156.058
0,0,135,38.068,135,38.23,140,41.533,130,38.234,544.593261719,156.065
0,0,140,39.452,135,38.227,140,41.53,130,38.23,545.330566406,157.439
0,0,140,39.431,135,38.207,140,41.507,130,38.207,547.237243652,157.352
0,0,140,39.445,135,38.221,140,41.522,130,38.222,546.969116211,157.41
